iter	RMSE
0	448.9895417
1	442.5782615
2	436.5991314
3	430.5746873
4	425.5484242
5	419.6909171
6	413.4920522
7	408.2361209
8	402.5106605
9	397.8516398
10	393.1760485
11	388.0413861
12	383.6421338
13	379.1143072
14	374.3407191
15	369.7837959
16	366.5076742
17	362.7581271
18	358.5856338
19	355.0217493
20	351.1587005
21	348.6296978
22	345.4842959
23	341.5437375
24	338.3858467
25	335.6627442
26	331.8972575
27	329.4262833
28	326.8160532
29	323.9650261
30	320.8400062
31	317.8978212
32	315.6777897
33	313.3016459
34	310.7165577
35	308.4319986
36	306.1155714
37	304.3300556
38	301.9873952
39	300.4164411
40	297.6535544
41	296.0827114
42	293.7146649
43	292.0035609
44	290.2724402
45	287.9127819
46	285.9197883
47	283.9603177
48	281.9821756
49	279.7619355
50	277.885223
51	275.6486911
52	273.7202394
53	272.3791295
54	270.7689268
55	268.8396839
56	267.1339282
57	265.8210203
58	264.2922853
59	262.5070007
60	261.0005435
61	259.4500751
62	257.9518187
63	256.1380195
64	255.3203228
65	253.9618764
66	253.1503806
67	251.8562279
68	250.8480285
69	250.3636893
70	248.7791325
71	248.1617684
72	247.3177383
73	246.2689424
74	245.0371521
75	244.0470993
76	243.7588215
77	242.995459
78	242.095805
79	241.5316217
80	240.6693174
81	239.0732645
82	237.8402797
83	236.8776934
84	235.8662159
85	235.0154241
86	234.2465313
87	233.7988765
88	232.7860785
89	231.4921079
90	230.8912597
91	229.8539643
92	229.2426834
93	228.5205442
94	227.5361417
95	226.6210335
96	226.1934474
97	225.2490313
98	224.9973014
99	224.0895592
100	223.6340318
101	223.0187306
102	221.9593177
103	220.6477024
104	220.0378449
105	218.7135004
106	217.7192561
107	216.8063925
108	216.2119806
109	215.2601782
110	214.9620031
111	214.693621
112	214.5429251
113	213.7888339
114	213.059909
115	212.5856009
116	212.1249728
117	211.0433259
118	210.8478437
119	210.004002
120	209.7532332
121	208.7317037
122	207.7454534
123	206.7993142
124	206.376073
125	205.643347
126	205.4389273
127	204.6619489
128	203.9954617
129	203.4180043
130	203.1655005
131	202.4610698
132	201.9543773
133	201.671162
134	201.4092758
135	201.0567215
136	200.5496422
137	199.6698459
138	198.775766
139	198.1880237
140	197.7624426
141	197.1557156
142	196.4537655
143	196.0362866
144	195.5722149
145	195.2204451
146	194.550373
147	194.3715261
148	193.8844988
149	193.6375825
150	193.4145343
151	193.1002832
152	192.1940472
153	191.774189
154	191.1257337
155	190.8204605
156	190.1706172
157	189.8427333
158	189.1208264
159	188.5088142
160	188.1802836
161	187.8589554
162	187.4820123
163	187.1236299
164	186.9949432
165	186.8498426
166	186.4159084
167	186.2624593
168	186.0710933
169	185.631659
170	185.2553636
171	184.7400377
172	184.2896004
173	183.7226207
174	183.3932507
175	183.2229476
176	182.662582
177	182.463055
178	182.0436443
179	181.7647001
180	181.2205929
181	180.696494
182	180.2255508
183	180.0802071
184	179.2068403
185	178.7234085
186	178.4995833
187	177.8114246
188	177.6883781
189	177.4683611
190	176.956185
191	176.7929953
192	175.9433804
193	175.4725363
194	174.9750356
195	174.5961882
196	173.9072087
197	173.2856966
198	173.0524387
199	172.5235833
200	171.9462767
201	171.4786266
202	171.2506343
203	171.0602067
204	170.3285245
205	169.4538161
206	168.9843224
207	168.68664
208	168.3342047
209	167.7828603
210	167.3191742
211	166.6076772
212	165.952771
213	165.3677866
214	164.781905
215	164.3201968
216	163.6185924
217	163.1190712
218	162.9209909
219	162.3934182
220	162.044863
221	161.8372741
222	161.3849778
223	160.8380615
224	160.2434621
225	159.5280628
226	159.3943885
227	158.7277787
228	158.1409631
229	157.8673057
230	157.423552
231	156.8116983
232	156.4868384
233	155.8494286
234	155.6684844
235	155.1687123
236	154.555765
237	154.3426387
238	153.7072894
239	153.4586509
240	152.9868719
241	152.4223502
242	152.2866838
243	151.7721917
244	151.1564584
245	151.018688
246	150.7654936
247	150.375572
248	150.1566427
249	149.8639444
250	149.4172007
251	148.7594633
252	148.0624934
253	147.4402806
254	147.2217138
255	146.7717619
256	146.1596336
257	145.9508356
258	145.5869715
259	145.0597686
260	144.8755586
261	144.5852101
262	143.9585257
263	143.488151
264	143.3187917
265	142.7341268
266	142.2121536
267	141.5239033
268	140.9185023
269	140.5247851
270	140.317389
271	139.9330577
272	139.4699894
273	139.0046185
274	138.3728214
275	138.1806617
276	137.9866667
277	137.4338184
278	137.2794562
279	136.9292587
280	136.6999783
281	136.1679826
282	135.9300031
283	135.6314
284	135.127007
285	134.5796726
286	134.2868342
287	133.7033844
288	133.5555525
289	132.9824867
290	132.7766
291	132.3098239
292	132.1543874
293	131.7535398
294	131.2414465
295	130.6573167
296	130.1692943
297	129.8805437
298	129.4795857
299	129.1117335
300	128.4679889
301	128.0699989
302	127.702753
303	127.1529323
304	126.8477756
305	126.553903
306	126.2477766
307	125.9557947
308	125.5667576
309	125.3765659
310	125.0689292
311	124.8021517
312	124.4012195
313	124.1562757
314	123.6703724
315	123.3889147
316	123.1334034
317	122.6082469
318	122.2787953
319	122.1549195
320	121.7577604
321	121.3451195
322	121.0063534
323	120.458172
324	119.9589941
325	119.5642679
326	119.2472579
327	118.9879748
328	118.5612831
329	118.3620126
330	118.0931403
331	117.6113965
332	117.4826
333	117.0346453
334	116.8839747
335	116.6035176
336	116.4900345
337	116.2751119
338	115.8489449
339	115.5868552
340	115.3017663
341	114.9623332
342	114.7532928
343	114.5457335
344	114.1391642
345	113.9849807
346	113.6429793
347	113.1893103
348	112.9444679
349	112.3875581
350	112.0056947
351	111.7852676
352	111.3999824
353	111.0806925
354	110.8191501
355	110.3743896
356	109.964701
357	109.5258526
358	109.3723502
359	108.9494182
360	108.8123275
361	108.4662343
362	108.2854511
363	107.886438
364	107.5553816
365	107.2329036
366	106.9294837
