iter	Passed	Remaining
0	0	147
1	0	141
2	0	136
3	1	136
4	1	134
5	1	132
6	1	131
7	2	132
8	2	132
9	2	131
10	2	132
11	3	131
12	3	131
13	4	157
14	4	155
15	5	152
16	5	151
17	5	149
18	5	148
19	6	147
20	6	147
21	6	145
22	7	145
23	7	144
24	7	143
25	7	143
26	8	142
27	8	141
28	8	141
29	8	140
30	9	139
31	9	138
32	9	138
33	10	137
34	10	137
35	10	137
36	10	136
37	11	136
38	11	135
39	11	134
40	12	134
41	12	141
42	13	140
43	13	140
44	13	139
45	14	138
46	14	137
47	14	137
48	14	136
49	15	136
50	15	135
51	15	135
52	16	135
53	16	134
54	16	133
55	16	133
56	17	132
57	17	132
58	17	131
59	17	131
60	18	130
61	18	130
62	18	130
63	19	129
64	19	129
65	19	129
66	19	128
67	20	128
68	20	128
69	20	128
70	21	127
71	21	127
72	21	126
73	21	126
74	22	125
75	22	125
76	22	124
77	23	124
78	23	123
79	23	123
80	23	123
81	24	122
82	24	122
83	24	121
84	24	121
85	25	120
86	25	120
87	25	120
88	25	119
89	26	119
90	26	119
91	26	118
92	27	118
93	27	117
94	27	117
95	27	117
96	28	117
97	28	117
98	28	116
99	29	116
100	29	115
101	29	115
102	29	115
103	30	114
104	30	114
105	30	114
106	30	113
107	31	113
108	31	112
109	31	112
110	32	112
111	32	112
112	32	112
113	33	111
114	33	111
115	33	111
116	33	110
117	34	110
118	34	110
119	34	110
120	35	109
121	35	109
122	35	109
123	35	108
124	36	110
125	37	109
126	37	109
127	37	109
128	37	108
129	38	108
130	38	108
131	38	107
132	38	107
133	39	106
134	39	106
135	39	106
136	40	106
137	40	105
138	40	105
139	40	105
140	41	104
141	41	104
142	41	104
143	41	103
144	42	103
145	42	102
146	42	102
147	42	102
148	43	101
149	43	101
150	43	101
151	44	100
152	44	100
153	44	100
154	44	99
155	45	99
156	45	99
157	46	100
158	46	100
159	47	99
160	47	99
161	47	99
162	47	98
163	48	98
164	48	98
165	48	97
166	48	97
167	49	97
168	49	97
169	49	96
170	50	96
171	50	96
172	51	97
173	51	97
174	52	96
175	52	96
176	52	96
177	52	95
178	53	95
179	53	95
180	53	94
181	53	94
182	54	93
183	54	93
184	54	93
185	55	92
186	55	92
187	55	92
188	55	91
189	56	91
190	56	91
191	56	91
192	57	90
193	57	90
194	57	90
195	57	89
196	58	89
197	58	89
198	58	88
199	59	88
200	59	88
201	59	87
202	59	87
203	60	88
204	61	88
205	61	87
206	61	87
207	62	87
208	62	86
209	62	86
210	63	86
211	63	86
212	63	85
213	64	85
214	64	85
215	64	85
216	64	84
217	65	84
218	65	84
219	65	83
220	66	83
221	66	83
222	66	82
223	66	82
224	67	82
225	67	81
226	67	81
227	67	81
228	68	80
229	68	80
230	68	80
231	69	79
232	69	79
233	69	79
234	69	78
235	70	78
236	70	78
237	70	77
238	71	77
239	71	77
240	71	77
241	72	76
242	72	76
243	72	76
244	72	75
245	73	75
246	73	75
247	73	74
248	74	74
249	74	74
250	74	73
251	74	73
252	75	73
253	75	72
254	75	72
255	75	72
256	76	72
257	76	71
258	76	71
259	76	71
260	77	70
261	77	70
262	77	70
263	78	69
264	78	69
265	78	69
266	78	68
267	79	68
268	79	68
269	79	67
270	80	67
271	80	67
272	80	67
273	80	66
274	81	66
275	81	66
276	81	65
277	82	65
278	82	65
279	82	64
280	82	64
281	83	64
282	83	64
283	83	63
284	84	63
285	84	63
286	84	62
287	85	62
288	85	62
289	85	61
290	85	61
291	86	61
292	86	61
293	86	60
294	86	60
295	87	60
296	87	59
297	87	59
298	88	59
299	88	58
300	88	58
301	88	58
302	89	57
303	89	57
304	89	57
305	89	57
306	90	56
307	90	56
308	90	56
309	91	55
310	91	55
311	91	55
312	91	54
313	92	54
314	92	54
315	92	54
316	93	53
317	93	53
318	93	53
319	94	52
320	94	52
321	94	52
322	94	51
323	95	51
324	95	51
325	95	51
326	95	50
327	96	50
328	96	50
329	96	49
330	96	49
331	97	49
332	97	48
333	97	48
334	98	48
335	98	47
336	98	47
337	98	47
338	99	47
339	99	46
340	99	46
341	99	46
342	100	46
343	101	45
344	101	45
345	101	45
346	101	44
347	102	44
348	102	44
349	102	44
350	102	43
351	103	43
352	103	43
353	103	42
354	104	42
355	104	42
356	104	41
357	104	41
358	105	41
359	105	40
360	105	40
361	105	40
362	106	40
363	106	39
364	106	39
365	107	39
366	107	38
367	107	38
368	107	38
369	108	38
370	108	37
371	108	37
372	108	37
373	109	36
374	109	36
375	109	36
376	110	35
377	110	35
